Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
pse_R941.20.fq.seed3.ont	1	1	1	1	1	1	6383380	6383380	6383380	6383380	6383380	6383380	1	6383380	6383380	6410639	66.40	66.40	6383380	6383380	6383380	6383380	6383380.0	6356236.9	1	1	1	1	1	1	6383380	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	3.31	12.45	6383380	6383380	6383380	6383380	6383380	6383380	6383380.0	6356236.9	1	1	1	1
pse_R941.20.fq.seed4.ngs	1	1	1	1	1	1	6384170	6384170	6384170	6384170	6384170	6384170	1	6384170	6384170	6410639	66.40	66.40	6384170	6384170	6384170	6384170	6384170.0	6357810.3	1	1	1	1	1	1	6384170	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	0.02	0.60	6384170	6384170	6384170	6384170	6384170	6384170	6384170.0	6357810.3	1	1	1	1
pse_R941.20.fq.seed4.ont	2	2	2	2	1	1	6407124	6407124	6407124	6407124	6383413	6383413	2	6383413	6407124	6410639	66.31	66.40	6383413	6383413	6383413	6383413	6359877.5	6356390.3	1	1	1	1	1	1	6383413	0	0	0	0	1 + 0 part	23711	99.587	1.000	0.00	3.24	11.86	6383413	6383413	6383413	6383413	6383413	6383413	6359789.7	6356302.6	1	1	1	1
pse_R941.20.fq.seed5.ngs	1	1	1	1	1	1	6384180	6384180	6384180	6384180	6384180	6384180	1	6384180	6384180	6410639	66.40	66.40	6384180	6384180	6384180	6384180	6384180.0	6357830.2	1	1	1	1	1	1	6384180	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	0.00	0.75	6384180	6384180	6384180	6384180	6384180	6384180	6384180.0	6357830.2	1	1	1	1
pse_R941.20.fq.seed5.ont	1	1	1	1	1	1	6383373	6383373	6383373	6383373	6383373	6383373	1	6383373	6383373	6410639	66.40	66.40	6383373	6383373	6383373	6383373	6383373.0	6356223.0	1	1	1	1	1	1	6383373	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	3.38	12.78	6383373	6383373	6383373	6383373	6383373	6383373	6383373.0	6356223.0	1	1	1	1
pse_R941.30.fq.seed1.ngs	1	1	1	1	1	1	6384045	6384045	6384045	6384045	6384045	6384045	1	6384045	6384045	6410639	66.40	66.40	6384045	6384045	6384045	6384045	6384045.0	6357561.3	1	1	1	1	1	1	6384045	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	0.03	0.55	6384045	6384045	6384045	6384045	6384045	6384045	6384045.0	6357561.3	1	1	1	1
pse_R941.30.fq.seed1.ont	1	1	1	1	1	1	6383564	6383564	6383564	6383564	6383564	6383564	1	6383564	6383564	6410639	66.40	66.40	6383564	6383564	6383564	6383564	6383564.0	6356603.3	1	1	1	1	1	1	6383564	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	1.96	9.16	6383564	6383564	6383564	6383564	6383564	6383564	6383564.0	6356603.3	1	1	1	1
pse_R941.30.fq.seed2.ngs	1	1	1	1	1	1	6384048	6384048	6384048	6384048	6384048	6384048	1	6384048	6384048	6410639	66.40	66.40	6384048	6384048	6384048	6384048	6384048.0	6357567.3	1	1	1	1	1	1	6384048	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	0.03	0.55	6384048	6384048	6384048	6384048	6384048	6384048	6384048.0	6357567.3	1	1	1	1
pse_R941.30.fq.seed2.ont	1	1	1	1	1	1	6383575	6383575	6383575	6383575	6383575	6383575	1	6383575	6383575	6410639	66.40	66.40	6383575	6383575	6383575	6383575	6383575.0	6356625.3	1	1	1	1	1	1	6383575	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	1.88	8.88	6383575	6383575	6383575	6383575	6383575	6383575	6383575.0	6356625.3	1	1	1	1
pse_R941.30.fq.seed3.ngs	1	1	1	1	1	1	6384192	6384192	6384192	6384192	6384192	6384192	1	6384192	6384192	6410639	66.40	66.40	6384192	6384192	6384192	6384192	6384192.0	6357854.1	1	1	1	1	1	1	6384192	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	0.00	0.58	6384192	6384192	6384192	6384192	6384192	6384192	6384192.0	6357854.1	1	1	1	1
pse_R941.30.fq.seed3.ont	1	1	1	1	1	1	6383565	6383565	6383565	6383565	6383565	6383565	1	6383565	6383565	6410639	66.40	66.40	6383565	6383565	6383565	6383565	6383565.0	6356605.3	1	1	1	1	1	1	6383565	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	1.79	9.40	6383565	6383565	6383565	6383565	6383565	6383565	6383565.0	6356605.3	1	1	1	1
pse_R941.30.fq.seed4.ngs	1	1	1	1	1	1	6384176	6384176	6384176	6384176	6384176	6384176	1	6384176	6384176	6410639	66.40	66.40	6384176	6384176	6384176	6384176	6384176.0	6357822.2	1	1	1	1	1	1	6384176	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	0.00	0.72	6384176	6384176	6384176	6384176	6384176	6384176	6384176.0	6357822.2	1	1	1	1
pse_R941.30.fq.seed4.ont	2	2	2	2	1	1	6407269	6407269	6407269	6407269	6383557	6383557	2	6383557	6407269	6410639	66.31	66.40	6383557	6383557	6383557	6383557	6360020.5	6356677.1	1	1	1	1	1	1	6383557	0	0	0	0	1 + 0 part	23712	99.587	1.000	0.00	1.72	9.16	6383557	6383557	6383557	6383557	6383557	6383557	6359932.8	6356589.4	1	1	1	1
pse_R941.30.fq.seed5.ngs	1	1	1	1	1	1	6384170	6384170	6384170	6384170	6384170	6384170	1	6384170	6384170	6410639	66.40	66.40	6384170	6384170	6384170	6384170	6384170.0	6357810.3	1	1	1	1	1	1	6384170	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	0.00	0.47	6384170	6384170	6384170	6384170	6384170	6384170	6384170.0	6357810.3	1	1	1	1
pse_R941.30.fq.seed5.ont	1	1	1	1	1	1	6383542	6383542	6383542	6383542	6383542	6383542	1	6383542	6383542	6410639	66.40	66.40	6383542	6383542	6383542	6383542	6383542.0	6356559.5	1	1	1	1	1	1	6383542	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	1.86	9.40	6383542	6383542	6383542	6383542	6383542	6383542	6383542.0	6356559.5	1	1	1	1
